code;about;price;photo;in_stock
TAC15333012;ازميل HEX كسارة ( 30 × 35 × 400 ) مبسط لزوم كسارة 1700 واط (( صناعي )) حديث;5.13;https://hawarastore.com/wp-content/uploads/2026/02/TAC15333012.png;yes
TAC15342811;ازميل HEX كسارة شوارع ( 28 × 520 مم ) شوكة (( صناعي )) TOTAL;8.73;https://hawarastore.com/wp-content/uploads/2025/08/TAC153428112.png;yes
TAC153428112;ازميل HEX كسارة شوارع ( 28 × 35 × 520 مم ) (( صناعي )) TOTAL;8.73;https://hawarastore.com/wp-content/uploads/2025/08/TAC153428112.png;yes
TAC16HL133;راس شد مزدوج مصالب + شق علبة 10 قطع طول 65 مم موديل TOTAL;2.6;https://hawarastore.com/wp-content/uploads/2025/08/TAC16HL133.png;no
TAC16PH213;راس شد مصالب PH2*25 علبة 20 قطعة موديل TOTAL;1.66;https://hawarastore.com/wp-content/uploads/2025/08/TAC16PH213.png;yes
TAC16PH223;راس شد مصالب PH2*50 علبة 10 قطع ماركة TOTAL;2.09;https://hawarastore.com/wp-content/uploads/2025/08/TAC16PH223.png;no
TAC16PH233;راس شد مصالب مزدوج PH2*65 علبة 10 قطع ماركة TOTAL;2.6;https://hawarastore.com/wp-content/uploads/2025/08/TAC16PH233.png;yes
TAC16PH233IM;راس شد مصالب مزدوج PH2*65 علبة 10 قطع ماركة TOTAL موديل حديث;3.6;https://hawarastore.com/wp-content/uploads/2024/03/TAC16PH233IM.png;no
TAC16PZ223;راس شد مصالب PZ2*50 علبة 10 قطع موديل TOTAL;2.34;https://hawarastore.com/wp-content/uploads/2025/08/TAC16PZ223.png;yes
TAC180030;ورق برداغ 180مم 7 انش 30 قطعة لزوم حفافة TWS10501 ماركة TOTAL;5.01;;no
TAC180251;شفرة ثقب 25 مم على كرت TOTAL ريشة حفر مفصلات;2.15;https://hawarastore.com/wp-content/uploads/2025/08/TAC180251.png;yes
TAC180321;شفرة ثقب 32 مم على كرت TOTAL ريشة حفر مفصلات;2.76;https://hawarastore.com/wp-content/uploads/2025/08/TAC180321.png;yes
TAC180351;شفرة ثقب 35 مم على كرت TOTAL ريشة حفر مفصلات;2.18;https://hawarastore.com/wp-content/uploads/2025/08/TAC180351.png;yes
TAC190501;طقم ريش 5 قطع باطون SDS PLUS صناعي 6+8+2*10+12 ماركة TOTAL;4.34;https://hawarastore.com/wp-content/uploads/2025/08/TAC190501.png;no
TAC20111550;حجر قص معدن 4.5 انش سماكة 1 مم علبة 50 قطعة TOTAL;11.35;;no
TAC2101151;حجر قص معدن 4.5 انش سماكة 1 مم TOTAL;0.24;https://hawarastore.com/wp-content/uploads/2025/08/TAC210115100.png;no
TAC210115100;حجر قص معدن 4.5 انش سماكة 1 مم TOTAL علبة 100 قطعة;19.27;https://hawarastore.com/wp-content/uploads/2024/05/TAC210115100.png;yes
TAC2101251;حجر قص معدن 5 انش سماكة 1 مم TOTAL;0.3;;no
TAC210401;ريشة باطون ألماس 4 مم طول 75 مم TOTAL;0.4;https://hawarastore.com/wp-content/uploads/2024/05/TAC210601.png;yes
TAC210501;ريشة باطون ألماس 5 مم طول 85 مم TOTAL;0.54;https://hawarastore.com/wp-content/uploads/2025/08/TAC210501.png;yes
TAC210602;ريشة باطون ألماس 6 مم طول 150 مم TOTAL;0.8;https://hawarastore.com/wp-content/uploads/2025/08/TAC210602.png;no
